Heading,Link,Summary,Date
"Landmark Leisure plans to invest Rs 1,200 crore in next five years",http://economictimes.indiatimes.com/industry/media/entertainment/landmark-leisure-plans-to-invest-rs-1200-crore-in-next-five-years/articleshow/52223991.cms,"Established in 1999 in the Middle East, Fun City runs franchises in nine different countries and India is one of its key markets, Landmark Leisure said in a statement.","May 11, 2016, 06:01 PM IST"
"SAB Group completes business restructuring, set to list two new companies",http://economictimes.indiatimes.com/industry/media/entertainment/sab-group-completes-business-restructuring-set-to-list-two-new-companies/articleshow/51971709.cms,"The group is set to invest Rs 400-500 crore in expanding television, film production and distribution and digital businesses over three years.","Apr 25, 2016, 01:05 AM IST"
Netflix appoints new head for business development in Asia Pacific,http://economictimes.indiatimes.com/industry/media/entertainment/netflix-appoints-new-head-for-business-development-in-asia-pacific/articleshow/51909114.cms,"Zameczkowski will be based in Singapore and reports to US-based Bill Holmes, global head of business development at Netflix.","Apr 20, 2016, 03:34 PM IST"
"Hotstar, Sony Liv gear up to take on Netflix in India",http://economictimes.indiatimes.com/industry/media/entertainment/hotstar-sony-liv-gear-up-to-take-on-netflix-in-india/articleshow/52033453.cms,"Sony Liv, the over-the-top services player owned by broadcaster SPN India, and Star India’s Hotstar will use Hollywood movies and English TV content to take on Netflix in the Indian market.","Apr 29, 2016, 02:31 AM IST"
Doordarshan could shelve proposed biographical serials on Deendayal Upadhyaya and Savitribai Phule,http://economictimes.indiatimes.com/industry/media/entertainment/doordarshan-could-shelve-proposed-biographical-serials-on-deendayal-upadhyaya-and-savitribai-phule/articleshow/52284935.cms,"For the past year or so, actor-producer Arun Govil has been immersed in research on Upadhyaya, a Bharatiya Jana Sangh stalwart with deep roots in the Rashtriya Swayamsevak Sangh.","May 16, 2016, 12:57 AM IST"
How regional channels are catching with local versions and attracting advertisers,http://economictimes.indiatimes.com/industry/media/entertainment/how-regional-channels-are-catching-with-local-versions-and-attracting-advertisers/articleshow/51950930.cms,"Whether it is drama, mythology, mystery or horror in fiction, regional broadcasters are paying top dollars to get such programmes on their channels.","Apr 23, 2016, 04:15 AM IST"
ErosNow partners Amazon,http://economictimes.indiatimes.com/industry/media/entertainment/erosnow-partners-amazon/articleshow/52110676.cms,Eros International has partnered with Amazon.com to offer its video-on-demand service ErosNow on Amazon Fire TV.,"May 4, 2016, 07:17 PM IST"
Cinepolis to launch 160 more screens in India with an investment of Rs 400 crore,http://economictimes.indiatimes.com/industry/media/entertainment/cinepolis-to-launch-160-more-screens-in-india-with-an-investment-of-rs-400-crore/articleshow/52431914.cms,"With 240 screens Cinepolis is the fourth largest player in the Indian multiplex market after PVR, Inox and Carnival Cinemas, in terms of number of screens.","May 25, 2016, 02:41 PM IST"
"PVR opens 5-screen multiplex in Panvel, increases pan-India presence",http://economictimes.indiatimes.com/industry/media/entertainment/pvr-opens-5-screen-multiplex-in-panvel-increases-pan-india-presence/articleshow/52433501.cms,"PVR, India’s largest cinema exhibition company, has opened the 5- screens multiplex at Orion Mall, taking its screen count in Maharashtra to 143 screens across 35 properties.","May 25, 2016, 04:24 PM IST"
Captain America gets backing of 70 brands for 'Civil War',http://economictimes.indiatimes.com/industry/media/entertainment/captain-america-gets-backing-of-70-brands-for-civil-war/articleshow/52100417.cms,This breaks the previous record of 'Avengers: Age of Ultron' and 'Star Wars — The Force Awakens' that had tieups with 50 brands each.,"May 4, 2016, 04:11 AM IST"
PVR looking to double screen count in 3 years: Chairman Ajay Bijli,http://economictimes.indiatimes.com/industry/media/entertainment/pvr-looking-to-double-screen-count-in-3-years-chairman-ajay-bijli/articleshow/51577514.cms,"PVR is looking to almost double its screen count in the next three years to reach 1,000 screens, its chairman Ajay Bijli said.","Mar 28, 2016, 03:51 AM IST"
Film on Chinese monk's visit to India hits screens next month,http://economictimes.indiatimes.com/industry/media/entertainment/film-on-chinese-monks-visit-to-india-hits-screens-next-month/articleshow/51396836.cms,A Sino-Indian epic film featuring eminent Chinese monk Xuan Zang's 17-year journey to India to bring Buddhism to China will be released in Chinese and Indian theatres.,"Mar 14, 2016, 07:07 PM IST"
"PVR set to open India's largest multiplex in Noida, earmarks Rs 130 crore capex for FY17",http://economictimes.indiatimes.com/industry/media/entertainment/pvr-set-to-open-indias-largest-multiplex-in-noida-earmarks-rs-130-crore-capex-for-fy17/articleshow/51507617.cms,The Rs 45 crore Superplex will take the total number of screens for PVR to 516 across the country and help it cement the position of the market leader.,"Mar 22, 2016, 11:23 AM IST"
Shyam Benegal panel on censor board gets extension,http://economictimes.indiatimes.com/industry/media/entertainment/shyam-benegal-panel-on-censor-board-gets-extension/articleshow/51479688.cms,The Shyam Benegal-led panel formed by the Information and Broadcasting Ministry to look into the overall functioning of the Censor Board has been given an extension.,"Mar 20, 2016, 12:49 PM IST"
"PVR increases screen presence, opens 15-screen Superplex in Noida",http://economictimes.indiatimes.com/industry/media/entertainment/pvr-increases-screen-presence-opens-15-screen-superplex-in-noida/articleshow/51582940.cms,"With Playhouse, PVR has created a new format where a special auditorium has been designed as an exclusive fun and entertainment destination for children.","Mar 28, 2016, 02:15 PM IST"
Eros’ Trinity Pictures set to start production in FY’17,http://economictimes.indiatimes.com/industry/media/entertainment/eros-trinity-pictures-set-to-start-production-in-fy17/articleshow/51494430.cms,"Trinity claims that its dedicated in-house team of writers has created over ten original franchises since the division’s inception, out of which at least four films will go into production in FY17","Mar 21, 2016, 03:47 PM IST"
